expediente_o_acto,fecha,etapa,institucion,persona,funcion_documentada,resultado,fuente
INE/CG1929/2024,2024-07-05,proyecto,INE,Isaac David Ramírez Bernal,Encargado del despacho de la Unidad Técnica de Fiscalización; la UTF elaboró el proyecto,Proyecto entregado a la Comisión de Fiscalización,https://www.ine.mx/isaac-david-ramirez-bernal/
INE/CG1929/2024,2024-07-12,dictamen,INE,Jorge Montaño Ventura,Presidente de la Comisión de Fiscalización,Aprobación del dictamen y proyecto de resolución,https://repositoriodocumental.ine.mx/xmlui/handle/123456789/175375
INE/CG1929/2024,2024-07-12,dictamen,INE,Carla Astrid Humphrey Jordán,Integrante de la Comisión de Fiscalización,Aprobación del dictamen y proyecto de resolución,https://repositoriodocumental.ine.mx/xmlui/handle/123456789/175375
INE/CG1929/2024,2024-07-12,dictamen,INE,Dania Paola Ravel Cuevas,Integrante de la Comisión de Fiscalización,Aprobación del dictamen y proyecto de resolución,https://repositoriodocumental.ine.mx/xmlui/handle/123456789/175375
INE/CG1929/2024,2024-07-12,dictamen,INE,Uuc-kib Espadas Ancona,Integrante de la Comisión de Fiscalización,Aprobación del dictamen y proyecto de resolución,https://repositoriodocumental.ine.mx/xmlui/handle/123456789/175375
INE/CG1929/2024,2024-07-12,dictamen,INE,Jaime Rivera Velázquez,Integrante de la Comisión de Fiscalización,Aprobación del dictamen y proyecto de resolución,https://repositoriodocumental.ine.mx/xmlui/handle/123456789/175375
INE/CG1929/2024,2024-07-22,resolucion,INE,Beatriz Claudia Zavala Pérez,Consejera electoral e integrante del Consejo General,Aprobación unánime en lo general de los puntos 7.1 y 7.3,https://centralelectoral.ine.mx/2024/07/22/version-estenografica-de-la-sesion-extraordinaria-del-consejo-general-22-de-julio-de-2024/
INE/CG1929/2024,2024-07-22,resolucion,INE,Arturo Castillo Loza,Consejero electoral e integrante del Consejo General,Aprobación unánime en lo general de los puntos 7.1 y 7.3,https://centralelectoral.ine.mx/2024/07/22/version-estenografica-de-la-sesion-extraordinaria-del-consejo-general-22-de-julio-de-2024/
SUP-RAP-342/2024 y SUP-RAP-400/2024,2024-09-04,sentencia,TEPJF,Felipe de la Mata Pizaña,Magistrado ponente,Confirma treinta conclusiones sancionatorias y revoca otras para nueva valoración,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-RAP-0342-2024
SUP-RAP-342/2024 y SUP-RAP-400/2024,2024-09-04,sentencia,TEPJF,Janine M. Otálora Malassis,Magistrada integrante del pleno y autora de voto razonado,Integra decisión unánime y acompaña sus efectos,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-RAP-0342-2024
SM-RAP-168/2024 y SM-RAP-170/2024,2024-10-08,sentencia,TEPJF,Elena Ponce Aguilar,Secretaria de Estudio y Cuenta en funciones de magistrada; ponente,Confirma la conclusión 6_C130_FD y la sanción impuesta a Movimiento Ciudadano,https://www.te.gob.mx/media/SentenciasN/pdf/monterrey/SM-RAP-0168-2024.pdf
SM-RAP-168/2024 y SM-RAP-170/2024,2024-10-08,sentencia,TEPJF,Claudia Valle Aguilasocho,Magistrada integrante del pleno,Integra decisión unánime,https://www.te.gob.mx/media/SentenciasN/pdf/monterrey/SM-RAP-0168-2024.pdf
SM-RAP-168/2024 y SM-RAP-170/2024,2024-10-08,sentencia,TEPJF,Ernesto Camacho Ochoa,Magistrado integrante del pleno y autor de voto aclaratorio,Integra decisión unánime,https://www.te.gob.mx/media/SentenciasN/pdf/monterrey/SM-RAP-0168-2024.pdf

