tipo,identificador_o_persona,archivo_local,url_oficial,estado
resolucion,INE/CG1929/2024,research/relaciones_servidores_publicos/fuentes/ine/INE-CG1929-2024.pdf,https://repositoriodocumental.ine.mx/xmlui/handle/123456789/175375,descargado_y_verificado
sentencia,SUP-RAP-342/2024 y SUP-RAP-400/2024,research/relaciones_servidores_publicos/fuentes/tepjf/SUP-RAP-0342-2024.pdf,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-RAP-0342-2024,descargado_y_verificado
sentencia,SM-RAP-168/2024 y SM-RAP-170/2024,research/relaciones_servidores_publicos/fuentes/tepjf/SM-RAP-0168-2024.pdf,https://www.te.gob.mx/media/SentenciasN/pdf/monterrey/SM-RAP-0168-2024.pdf,descargado_y_verificado
declaracion,Beatriz Claudia Zavala Pérez,research/relaciones_servidores_publicos/fuentes/declaraciones/Beatriz_Claudia_Zavala_Perez_modificacion_2021.pdf,https://transparencia.ine.mx/sistemaot/cargaMasiva/Articulo70/2022/Formato12/OIC/tml2/tr_mod6_2021beatriz_claudia_zavala_perez_.pdf,descargado_y_verificado
declaracion,Janine M. Otálora Malassis,research/relaciones_servidores_publicos/fuentes/declaraciones/Janine_Madeleine_Otalora_Malassis_modificacion_2024.pdf,https://www.te.gob.mx/Repositorio/A70F12/CI/2do_trimestre_2024/JANINE_MADELINE_OTALORA_MALASSIS_MI.pdf,descargado_y_verificado
declaracion,Felipe Alfredo Fuentes Barrera,research/relaciones_servidores_publicos/fuentes/declaraciones/Felipe_Alfredo_Fuentes_Barrera_modificacion_2023.pdf,https://www.te.gob.mx/Repositorio/A70F12/CI/2do_Trimestre_2023/FELIPE_ALFREDO_FUENTES_BARRERA_M.pdf,descargado_y_verificado
declaracion,Arturo Castillo Loza,,https://ine.mx/consejero-arturo-castillo-loza/,pendiente_version_publica_completa
declaracion,Felipe de la Mata Pizaña,,https://www.te.gob.mx/portaltransparencia/,pendiente_por_bloqueo_del_portal
indice_declaraciones,TEPJF 1er trimestre 2024,,https://www.te.gob.mx/portaltransparencia/media/images/documentos//tmp/phpbyXoC4.xlsx,localizado_en_portal_oficial_descarga_bloqueada_por_waf
indice_declaraciones,TEPJF 2do trimestre 2024,,https://www.te.gob.mx/portaltransparencia/media/images/documentos//tmp/phpzMnkon.xlsx,localizado_en_portal_oficial_descarga_bloqueada_por_waf
indice_declaraciones,TEPJF 3er trimestre 2024,,https://www.te.gob.mx/portaltransparencia/media/images/documentos//tmp/phpECn5Bt.xlsx,localizado_en_portal_oficial_descarga_bloqueada_por_waf
indice_declaraciones,TEPJF 4to trimestre 2024,,https://www.te.gob.mx/portaltransparencia/media/images/documentos//tmp/php6qnLJ2.xlsx,localizado_en_portal_oficial_descarga_bloqueada_por_waf
