persona,institucion,intervencion_2024,fecha_designacion,mecanismo_legal,organo_formal,modalidad,atribucion_partidista_documentada,partido_mencionado,tipo_evidencia,conclusion,url_fuente
Isaac David Ramírez Bernal,INE,Encargado del despacho de la UTF,2023-05,Designación administrativa interna,INE,Encargaduría de despacho,no,,sin_atribucion_oficial,No se acredita designación partidista,https://www.ine.mx/isaac-david-ramirez-bernal/
Norma Irene de la Cruz Magaña,INE,Consejera del Consejo General,2020-07-22,Artículo 41 constitucional,Cámara de Diputados,Mayoría calificada 399-5-5,no,,acuerdo_multipartidista,No se acredita designación individual por un partido,https://cronica.diputados.gob.mx/Ve22jul2020.html
Carla Astrid Humphrey Jordán,INE,Comisión de Fiscalización y Consejo General,2020-07-22,Artículo 41 constitucional,Cámara de Diputados,Mayoría calificada 399-5-5,no,,acuerdo_multipartidista,No se acredita designación individual por un partido,https://cronica.diputados.gob.mx/Ve22jul2020.html
José Martín Fernando Faz Mora,INE,Consejero del Consejo General,2020-07-22,Artículo 41 constitucional,Cámara de Diputados,Mayoría calificada 399-5-5,no,,acuerdo_multipartidista,No se acredita designación individual por un partido,https://cronica.diputados.gob.mx/Ve22jul2020.html
Uuc-kib Espadas Ancona,INE,Comisión de Fiscalización y Consejo General,2020-07-22,Artículo 41 constitucional,Cámara de Diputados,Mayoría calificada 399-5-5,no,,acuerdo_multipartidista,No se acredita designación individual por un partido,https://cronica.diputados.gob.mx/Ve22jul2020.html
Dania Paola Ravel Cuevas,INE,Comisión de Fiscalización y Consejo General,2017-03-30,Artículo 41 constitucional,Cámara de Diputados,Mayoría calificada 336-32-5,sí como acusación en tribuna,PRI,acusacion_politica_no_acreditacion,El decreto no asigna partido ni prueba afiliación,https://cronica.diputados.gob.mx/Estenografia/LXIII/2017/mar/20170330.html
Jaime Rivera Velázquez,INE,Comisión de Fiscalización y Consejo General,2017-03-30,Artículo 41 constitucional,Cámara de Diputados,Mayoría calificada 336-32-5,sí como acusación en tribuna,PAN,acusacion_politica_no_acreditacion,El decreto no asigna partido ni prueba afiliación,https://cronica.diputados.gob.mx/Estenografia/LXIII/2017/mar/20170330.html
Beatriz Claudia Zavala Pérez,INE,Consejera del Consejo General,2017-03-30,Artículo 41 constitucional,Cámara de Diputados,Mayoría calificada 336-32-5,sí como acusación en tribuna,PRD,acusacion_politica_no_acreditacion,El decreto no asigna partido ni prueba afiliación,https://cronica.diputados.gob.mx/Estenografia/LXIII/2017/mar/20170330.html
Guadalupe Taddei Zavala,INE,Presidenta del Consejo General,2023-03-31,Artículo 41 constitucional,Cámara de Diputados,Insaculación,no,,insaculacion,Un partido no escogió individualmente a la ganadora,https://www.diputados.gob.mx/LeyesBiblio/marjur/marco/Dip_decreto_consejeros_INE_04abr23.pdf
Rita Bell López Vences,INE,Consejera del Consejo General,2023-03-31,Artículo 41 constitucional,Cámara de Diputados,Insaculación,no,,insaculacion,Un partido no escogió individualmente a la ganadora,https://www.diputados.gob.mx/LeyesBiblio/marjur/marco/Dip_decreto_consejeros_INE_04abr23.pdf
